Name,PoolId,Rarity,OptionId,Weight
Lv01_Legendary_Reduce,Pool_Lv01,Item.Rarity.Legendary,Opt_Lv01_Reduce_Legendary,25
Lv20_Common_Hp,Pool_Lv20,Item.Rarity.Common,Opt_Lv20_Hp_Common,100
Lv20_Common_Mp,Pool_Lv20,Item.Rarity.Common,Opt_Lv20_Mp_Common,100
Lv20_Common_Armor,Pool_Lv20,Item.Rarity.Common,Opt_Lv20_Armor_Common,80
Lv20_Common_Phys,Pool_Lv20,Item.Rarity.Common,Opt_Lv20_Phys_Common,60
Lv20_Common_Magic,Pool_Lv20,Item.Rarity.Common,Opt_Lv20_Magic_Common,60
Lv20_Rare_Hp,Pool_Lv20,Item.Rarity.Rare,Opt_Lv20_Hp_Rare,100
Lv20_Rare_Armor,Pool_Lv20,Item.Rarity.Rare,Opt_Lv20_Armor_Rare,80
Lv20_Rare_HpRegen,Pool_Lv20,Item.Rarity.Rare,Opt_Lv20_HpRegen_Rare,50
Lv20_Rare_HpPct,Pool_Lv20,Item.Rarity.Rare,Opt_Lv20_HpPct_Rare,50
Lv20_Rare_PhysPct,Pool_Lv20,Item.Rarity.Rare,Opt_Lv20_PhysPct_Rare,40
Lv20_Rare_MagicPct,Pool_Lv20,Item.Rarity.Rare,Opt_Lv20_MagicPct_Rare,40
Lv20_Rare_Move,Pool_Lv20,Item.Rarity.Rare,Opt_Lv20_Move_Rare,25
Lv20_Epic_HpPct,Pool_Lv20,Item.Rarity.Epic,Opt_Lv20_HpPct_Epic,50
Lv20_Epic_PhysPct,Pool_Lv20,Item.Rarity.Epic,Opt_Lv20_PhysPct_Epic,40
Lv20_Epic_MagicPct,Pool_Lv20,Item.Rarity.Epic,Opt_Lv20_MagicPct_Epic,40
Lv20_Epic_Crit,Pool_Lv20,Item.Rarity.Epic,Opt_Lv20_Crit_Epic,30
Lv20_Epic_ArmorPen,Pool_Lv20,Item.Rarity.Epic,Opt_Lv20_ArmorPen_Epic,30
Lv20_Epic_MpRegen,Pool_Lv20,Item.Rarity.Epic,Opt_Lv20_MpRegen_Epic,50
Lv20_Epic_BossDmg,Pool_Lv20,Item.Rarity.Epic,Opt_Lv20_BossDmg_Epic,20
Lv20_Legendary_HpPct,Pool_Lv20,Item.Rarity.Legendary,Opt_Lv20_HpPct_Legendary,50
Lv20_Legendary_PhysPct,Pool_Lv20,Item.Rarity.Legendary,Opt_Lv20_PhysPct_Legendary,40
Lv20_Legendary_MagicPct,Pool_Lv20,Item.Rarity.Legendary,Opt_Lv20_MagicPct_Legendary,40
Lv20_Legendary_Crit,Pool_Lv20,Item.Rarity.Legendary,Opt_Lv20_Crit_Legendary,30
Lv20_Legendary_ArmorPen,Pool_Lv20,Item.Rarity.Legendary,Opt_Lv20_ArmorPen_Legendary,30
Lv20_Legendary_Reduce,Pool_Lv20,Item.Rarity.Legendary,Opt_Lv20_Reduce_Legendary,25
Lv20_Legendary_CritDmg,Pool_Lv20,Item.Rarity.Legendary,Opt_Lv20_CritDmg_Legendary,20
Lv20_Legendary_BossDmg,Pool_Lv20,Item.Rarity.Legendary,Opt_Lv20_BossDmg_Legendary,20
Lv40_Common_Hp,Pool_Lv40,Item.Rarity.Common,Opt_Lv40_Hp_Common,100
Lv40_Common_Mp,Pool_Lv40,Item.Rarity.Common,Opt_Lv40_Mp_Common,100
Lv40_Common_Armor,Pool_Lv40,Item.Rarity.Common,Opt_Lv40_Armor_Common,80
Lv40_Common_Phys,Pool_Lv40,Item.Rarity.Common,Opt_Lv40_Phys_Common,60
Lv40_Common_Magic,Pool_Lv40,Item.Rarity.Common,Opt_Lv40_Magic_Common,60
Lv40_Rare_Hp,Pool_Lv40,Item.Rarity.Rare,Opt_Lv40_Hp_Rare,100
Lv40_Rare_Armor,Pool_Lv40,Item.Rarity.Rare,Opt_Lv40_Armor_Rare,80
Lv40_Rare_HpRegen,Pool_Lv40,Item.Rarity.Rare,Opt_Lv40_HpRegen_Rare,50
Lv40_Rare_HpPct,Pool_Lv40,Item.Rarity.Rare,Opt_Lv40_HpPct_Rare,50
Lv40_Rare_PhysPct,Pool_Lv40,Item.Rarity.Rare,Opt_Lv40_PhysPct_Rare,40
Lv40_Rare_MagicPct,Pool_Lv40,Item.Rarity.Rare,Opt_Lv40_MagicPct_Rare,40
Lv40_Rare_Move,Pool_Lv40,Item.Rarity.Rare,Opt_Lv40_Move_Rare,25
Lv40_Epic_HpPct,Pool_Lv40,Item.Rarity.Epic,Opt_Lv40_HpPct_Epic,50
Lv40_Epic_PhysPct,Pool_Lv40,Item.Rarity.Epic,Opt_Lv40_PhysPct_Epic,40
Lv40_Epic_MagicPct,Pool_Lv40,Item.Rarity.Epic,Opt_Lv40_MagicPct_Epic,40
Lv40_Epic_Crit,Pool_Lv40,Item.Rarity.Epic,Opt_Lv40_Crit_Epic,30
Lv40_Epic_ArmorPen,Pool_Lv40,Item.Rarity.Epic,Opt_Lv40_ArmorPen_Epic,30
Lv40_Epic_MpRegen,Pool_Lv40,Item.Rarity.Epic,Opt_Lv40_MpRegen_Epic,50
Lv40_Epic_BossDmg,Pool_Lv40,Item.Rarity.Epic,Opt_Lv40_BossDmg_Epic,20
Lv40_Legendary_HpPct,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_HpPct_Legendary,50
Lv40_Legendary_PhysPct,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_PhysPct_Legendary,40
Lv40_Legendary_MagicPct,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_MagicPct_Legendary,40
Lv40_Legendary_Crit,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_Crit_Legendary,30
Lv40_Legendary_ArmorPen,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_ArmorPen_Legendary,30
Lv40_Legendary_Reduce,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_Reduce_Legendary,25
Lv40_Legendary_CritDmg,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_CritDmg_Legendary,20
Lv40_Legendary_BossDmg,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_BossDmg_Legendary,20
Lv40_Legendary_Cooldown,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_Cooldown_Legendary,20
Lv40_Legendary_DmgPct,Pool_Lv40,Item.Rarity.Legendary,Opt_Lv40_DmgPct_Legendary,10
